Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-JUL-2026|BIKE|EQUITY|1293916404|510|0|1063117084|0|0|223441620|0|100|50000|0|1286608804|0|0|0|6182100|25900|0|1099600|0|0|7307600
31-JUL-2026|BIMA|EQUITY|608175716|82|570000|21193900|0|0|44850880|0|19820200|0|0|86434980|0|0|0|100|37000|0|0|0|0|37100
31-JUL-2026|BINA|EQUITY|6134716665|4400|1869069985|1990181221|38878600|0|33060089|94016000|205340291|70|0|4230546256|0|208737600|0|593419292|1000|5886900|1034418550|0|359900|1842823242
31-JUL-2026|BINO|EQUITY|2275316111|108|0|174022700|0|0|148592361|0|50|0|0|322615111|0|1949465800|0|270200|2965000|0|0|0|0|1952701000
31-JUL-2026|BIPI|EQUITY|63710196917|142|2631802708|28646925689|19958200|0|11560575485|305619800|2896521900|0|6|46061403788|0|4849928376|9755900|1495795900|5759500|83815100|8143446775|0|3060291578|17648793129
31-JUL-2026|BIPP|EQUITY|5028669376|61|0|898043500|21000300|1604280|835435833|9410000|656643|500|0|1766151056|0|3098530395|0|11374100|129177400|0|436500|0|0|3239518395
31-JUL-2026|BIRD|EQUITY|2502100000|1610|17641400|511028191|5334000|0|749711986|19522400|198662|0|3018|1303439657|0|59961689|6180130|47483534|1339900|72473048|13677520|0|7524522|208640343
31-JUL-2026|BISI|EQUITY|3000000000|660|0|39665700|0|0|111384238|200000|340|0|0|151250278|20500|178118616|582900|814739011|35746341|84564715|45972400|453197|64239542|1224437222
31-JUL-2026|BJBR|EQUITY|10521443686|790|967278700|25799970|11116355|5487300|1262929029|26970217|56880126|2175760|250049|2358887506|0|11670572|29859822|46569684|199200|94443584|15219415|0|16000572|213962849
31-JUL-2026|BJTM|EQUITY|15015498082|520|455684400|62179787|14880100|23000|2047493507|22276352|101301883|3635300|0|2707474329|0|14132300|67454750|118535944|875400|82499000|23033094|6975500|60369783|373875771
31-JUL-2026|BKDP|EQUITY|7513992252|169|72579|2611901899|0|0|1625947659|22305526|90181|47|0|4260317891|0|0|0|9365400|44308861|0|100|0|0|53674361
31-JUL-2026|BKSL|EQUITY|167708902705|68|220341500|58022992326|85690000|30|24709896936|2596497005|8308690194|53068160|68900|93997245051|0|1453966544|480700|980900889|222513100|348252782|976308105|0|3413661482|7396083602
31-JUL-2026|BKSW|EQUITY|35158048365|53|0|78862842|0|0|1134438287|289396400|22687|700|100|1502721016|0|0|0|32228580289|127394|0|1074782454|0|0|33303490137
31-JUL-2026|BLES|EQUITY|8890206400|200|0|962294000|0|0|477695200|4267500|516000|0|0|1444772700|0|0|0|382500|51200|0|0|0|0|433700
31-JUL-2026|BLOG|EQUITY|3379487200|358|0|2959757500|0|0|418220200|0|0|0|0|3377977700|0|200000|0|299200|660300|0|350000|0|0|1509500
31-JUL-2026|BLTA|EQUITY|25181143017|33|28973112|4981470893|88513072|470678|5608912454|656126832|162048796|2928816|9635400|11539080053|0|2259484724|140100865|1672741791|31778998|30535909|109034082|0|1143082864|5386759233
